Consumer,Promotion,Opened Email,Clicked Email Link,Created Account,Paid for Membership
85,Free Month,N,N,N,N
86,10% off,N,N,N,N
87,Free Month,N,N,N,N
88,10% off,N,N,N,N
89,Free Month,N,N,N,N
90,10% off,N,N,N,N
91,Free Month,N,N,N,N
92,10% off,N,N,N,N
93,Free Month,N,N,N,N
94,10% off,N,N,N,N
95,Free Month,Y,Y,Y,N
96,10% off,Y,Y,Y,N
97,Free Month,N,N,N,N
98,10% off,N,N,N,N
99,Free Month,N,N,N,N
100,10% off,Y,Y,Y,Y
101,Free Month,N,N,N,N
102,10% off,N,N,N,N
103,Free Month,Y,N,N,N
104,10% off,Y,Y,Y,Y
105,Free Month,Y,N,N,N
106,10% off,N,N,N,N
107,Free Month,N,N,N,N
108,10% off,N,N,N,N
109,Free Month,Y,Y,Y,Y
110,10% off,N,N,N,N
111,Free Month,Y,N,N,N
112,10% off,N,N,N,N
113,Free Month,Y,N,N,N
114,10% off,N,N,N,N
115,Free Month,Y,N,N,N
116,10% off,N,N,N,N
117,Free Month,Y,Y,Y,Y
118,10% off,Y,Y,Y,N
119,Free Month,Y,Y,Y,Y
120,10% off,N,N,N,N
121,Free Month,N,N,N,N
122,10% off,N,N,N,N
123,Free Month,N,N,N,N
124,10% off,N,N,N,N
125,Free Month,N,N,N,N
126,10% off,N,N,N,N
127,Free Month,Y,Y,Y,Y
128,10% off,N,N,N,N
129,Free Month,Y,Y,Y,Y
130,10% off,N,N,N,N
131,Free Month,Y,N,N,N
132,10% off,N,N,N,N
133,Free Month,N,N,N,N
134,10% off,N,N,N,N
135,Free Month,N,N,N,N
136,10% off,N,N,N,N
137,Free Month,Y,Y,Y,N
138,10% off,N,N,N,N
139,Free Month,N,N,N,N
140,10% off,N,N,N,N
141,Free Month,Y,Y,Y,N
142,10% off,N,N,N,N
143,Free Month,Y,Y,N,N
144,10% off,N,N,N,N
145,Free Month,N,N,N,N
146,10% off,N,N,N,N
147,Free Month,N,N,N,N
148,10% off,N,N,N,N
149,Free Month,N,N,N,N
150,10% off,N,N,N,N
151,Free Month,Y,Y,N,N
152,10% off,N,N,N,N
153,Free Month,N,N,N,N
154,10% off,N,N,N,N
155,Free Month,N,N,N,N
156,10% off,Y,Y,N,N
157,Free Month,N,N,N,N
158,10% off,Y,N,N,N
159,Free Month,N,N,N,N
160,10% off,Y,N,N,N
161,Free Month,N,N,N,N
162,10% off,N,N,N,N
163,Free Month,N,N,N,N
164,10% off,N,N,N,N
165,Free Month,Y,Y,Y,Y
166,10% off,N,N,N,N
167,Free Month,N,N,N,N
168,10% off,Y,N,N,N
169,Free Month,N,N,N,N
170,10% off,N,N,N,N
171,Free Month,N,N,N,N
172,10% off,N,N,N,N
173,Free Month,N,N,N,N
174,10% off,N,N,N,N
175,Free Month,N,N,N,N
176,10% off,N,N,N,N
177,Free Month,Y,Y,Y,Y
178,10% off,N,N,N,N
179,Free Month,N,N,N,N
180,10% off,Y,N,N,N
181,Free Month,Y,N,N,N
182,10% off,N,N,N,N
183,Free Month,N,N,N,N
184,10% off,N,N,N,N
185,Free Month,N,N,N,N
186,10% off,N,N,N,N
187,Free Month,Y,Y,Y,Y
188,10% off,N,N,N,N
189,Free Month,Y,N,N,N
190,10% off,Y,Y,Y,Y
191,Free Month,N,N,N,N
192,10% off,Y,N,N,N
193,Free Month,N,N,N,N
194,10% off,N,N,N,N
195,Free Month,N,N,N,N
196,10% off,N,N,N,N
197,Free Month,N,N,N,N
198,10% off,N,N,N,N
199,Free Month,Y,N,N,N
200,10% off,N,N,N,N
201,Free Month,N,N,N,N
202,10% off,N,N,N,N
203,Free Month,Y,Y,Y,Y
204,10% off,N,N,N,N
205,Free Month,N,N,N,N
206,10% off,Y,Y,Y,Y
207,Free Month,N,N,N,N
208,10% off,N,N,N,N
209,Free Month,Y,N,N,N
210,10% off,Y,Y,Y,Y
211,Free Month,N,N,N,N
212,10% off,Y,Y,Y,Y
213,Free Month,N,N,N,N
214,10% off,Y,Y,Y,Y
215,Free Month,N,N,N,N
216,10% off,N,N,N,N
217,Free Month,N,N,N,N
218,10% off,Y,N,N,N
219,Free Month,N,N,N,N
220,10% off,N,N,N,N
221,Free Month,Y,N,N,N
222,10% off,N,N,N,N
223,Free Month,N,N,N,N
224,10% off,N,N,N,N
225,Free Month,N,N,N,N
226,10% off,N,N,N,N
227,Free Month,N,N,N,N
228,10% off,N,N,N,N
229,Free Month,Y,Y,Y,Y
230,10% off,N,N,N,N
231,Free Month,N,N,N,N
232,10% off,N,N,N,N
233,Free Month,Y,N,N,N
234,10% off,N,N,N,N
235,Free Month,N,N,N,N
236,10% off,Y,N,N,N
237,Free Month,N,N,N,N
238,10% off,N,N,N,N
239,Free Month,N,N,N,N
240,10% off,Y,Y,N,N
241,Free Month,Y,Y,N,N
242,10% off,Y,N,N,N
243,Free Month,Y,Y,N,N
244,10% off,Y,N,N,N
245,Free Month,N,N,N,N
246,10% off,N,N,N,N
247,Free Month,Y,Y,N,N
248,10% off,N,N,N,N
249,Free Month,Y,N,N,N
250,10% off,N,N,N,N
251,Free Month,Y,Y,Y,Y
252,10% off,N,N,N,N
253,Free Month,N,N,N,N
254,10% off,Y,N,N,N
255,Free Month,N,N,N,N
256,10% off,N,N,N,N
257,Free Month,N,N,N,N
258,10% off,N,N,N,N
259,Free Month,N,N,N,N
260,10% off,Y,Y,Y,Y
261,Free Month,N,N,N,N
262,10% off,N,N,N,N
263,Free Month,N,N,N,N
264,10% off,Y,N,N,N
265,Free Month,Y,Y,Y,Y
266,10% off,N,N,N,N
267,Free Month,Y,N,N,N
268,10% off,Y,N,N,N
269,Free Month,N,N,N,N
270,10% off,N,N,N,N
271,Free Month,Y,N,N,N
272,10% off,N,N,N,N
273,Free Month,N,N,N,N
274,10% off,N,N,N,N
275,Free Month,N,N,N,N
276,10% off,N,N,N,N
277,Free Month,Y,N,N,N
278,10% off,Y,Y,N,N
279,Free Month,N,N,N,N
280,10% off,N,N,N,N
281,Free Month,N,N,N,N
282,10% off,N,N,N,N
283,Free Month,N,N,N,N
284,10% off,Y,Y,Y,Y
285,Free Month,N,N,N,N
286,10% off,N,N,N,N
287,Free Month,N,N,N,N
288,10% off,N,N,N,N
289,Free Month,N,N,N,N
290,10% off,Y,N,N,N
291,Free Month,N,N,N,N
292,10% off,N,N,N,N
293,Free Month,N,N,N,N
294,10% off,Y,Y,Y,Y
295,Free Month,N,N,N,N
296,10% off,N,N,N,N
297,Free Month,N,N,N,N
298,10% off,N,N,N,N
299,Free Month,N,N,N,N
300,10% off,Y,N,N,N
301,Free Month,N,N,N,N
302,10% off,Y,Y,Y,Y
303,Free Month,N,N,N,N
304,10% off,Y,N,N,N
305,Free Month,N,N,N,N
306,10% off,N,N,N,N
307,Free Month,Y,Y,N,N
308,10% off,Y,N,N,N
309,Free Month,N,N,N,N
310,10% off,N,N,N,N
311,Free Month,Y,N,N,N
312,10% off,N,N,N,N
313,Free Month,Y,Y,Y,N
314,10% off,N,N,N,N
315,Free Month,Y,Y,Y,N
316,10% off,Y,Y,Y,N
317,Free Month,N,N,N,N
318,10% off,Y,Y,Y,Y
319,Free Month,N,N,N,N
320,10% off,Y,N,N,N
321,Free Month,N,N,N,N
322,10% off,N,N,N,N
323,Free Month,N,N,N,N
324,10% off,Y,N,N,N
325,Free Month,N,N,N,N
326,10% off,Y,N,N,N
327,Free Month,N,N,N,N
328,10% off,N,N,N,N
329,Free Month,N,N,N,N
330,10% off,N,N,N,N
331,Free Month,N,N,N,N
332,10% off,N,N,N,N
333,Free Month,N,N,N,N
334,10% off,N,N,N,N
335,Free Month,Y,N,N,N
336,10% off,N,N,N,N
337,Free Month,Y,Y,N,N
338,10% off,N,N,N,N
339,Free Month,N,N,N,N
340,10% off,Y,Y,N,N
341,Free Month,Y,Y,N,N
342,10% off,Y,N,N,N
343,Free Month,Y,N,N,N
344,10% off,N,N,N,N
345,Free Month,N,N,N,N
346,10% off,N,N,N,N
347,Free Month,N,N,N,N
348,10% off,Y,N,N,N
349,Free Month,Y,N,N,N
350,10% off,Y,Y,N,N
351,Free Month,N,N,N,N
352,10% off,Y,Y,Y,Y
353,Free Month,N,N,N,N
354,10% off,N,N,N,N
355,Free Month,N,N,N,N
356,10% off,N,N,N,N
357,Free Month,N,N,N,N
358,10% off,Y,N,N,N
359,Free Month,Y,Y,N,N
360,10% off,Y,Y,Y,N
361,Free Month,N,N,N,N
362,10% off,N,N,N,N
363,Free Month,Y,Y,N,N
364,10% off,N,N,N,N
365,Free Month,N,N,N,N
366,10% off,N,N,N,N
367,Free Month,N,N,N,N
368,10% off,N,N,N,N
369,Free Month,N,N,N,N
370,10% off,N,N,N,N
371,Free Month,N,N,N,N
372,10% off,N,N,N,N
373,Free Month,Y,Y,N,N
374,10% off,N,N,N,N
375,Free Month,Y,Y,Y,Y
376,10% off,N,N,N,N
377,Free Month,N,N,N,N
378,10% off,N,N,N,N
379,Free Month,Y,N,N,N
380,10% off,N,N,N,N
381,Free Month,N,N,N,N
382,10% off,N,N,N,N
383,Free Month,N,N,N,N
384,10% off,N,N,N,N
385,Free Month,N,N,N,N
386,10% off,N,N,N,N
387,Free Month,N,N,N,N
388,10% off,Y,Y,Y,Y
389,Free Month,N,N,N,N
390,10% off,N,N,N,N
391,Free Month,N,N,N,N
392,10% off,N,N,N,N
393,Free Month,Y,N,N,N
394,10% off,N,N,N,N
395,Free Month,Y,Y,Y,Y
396,10% off,N,N,N,N
397,Free Month,N,N,N,N
398,10% off,Y,Y,Y,Y
399,Free Month,N,N,N,N
400,10% off,N,N,N,N
401,Free Month,N,N,N,N
402,10% off,N,N,N,N
403,Free Month,Y,Y,N,N
404,10% off,N,N,N,N
405,Free Month,N,N,N,N
406,10% off,Y,N,N,N
407,Free Month,Y,N,N,N
408,10% off,N,N,N,N
409,Free Month,Y,Y,N,N
410,10% off,N,N,N,N
411,Free Month,Y,N,N,N
412,10% off,N,N,N,N
413,Free Month,N,N,N,N
414,10% off,N,N,N,N
415,Free Month,N,N,N,N
416,10% off,N,N,N,N
417,Free Month,N,N,N,N
418,10% off,N,N,N,N
419,Free Month,N,N,N,N
420,10% off,Y,N,N,N
421,Free Month,N,N,N,N
422,10% off,Y,N,N,N
423,Free Month,Y,N,N,N
424,10% off,N,N,N,N
425,Free Month,N,N,N,N
426,10% off,N,N,N,N
427,Free Month,N,N,N,N
428,10% off,N,N,N,N
429,Free Month,Y,Y,N,N
430,10% off,Y,Y,Y,Y
431,Free Month,Y,N,N,N
432,10% off,N,N,N,N
433,Free Month,N,N,N,N
434,10% off,N,N,N,N
435,Free Month,N,N,N,N
436,10% off,N,N,N,N
437,Free Month,N,N,N,N
438,10% off,N,N,N,N
439,Free Month,N,N,N,N
440,10% off,N,N,N,N
441,Free Month,N,N,N,N
442,10% off,N,N,N,N
443,Free Month,N,N,N,N
444,10% off,N,N,N,N
445,Free Month,Y,N,N,N
446,10% off,N,N,N,N
447,Free Month,N,N,N,N
448,10% off,Y,Y,Y,Y
449,Free Month,Y,N,N,N
450,10% off,N,N,N,N
451,Free Month,Y,Y,Y,Y
452,10% off,N,N,N,N
453,Free Month,N,N,N,N
454,10% off,N,N,N,N
455,Free Month,Y,Y,Y,Y
456,10% off,N,N,N,N
457,Free Month,N,N,N,N
458,10% off,N,N,N,N
459,Free Month,N,N,N,N
460,10% off,N,N,N,N
461,Free Month,N,N,N,N
462,10% off,N,N,N,N
463,Free Month,N,N,N,N
464,10% off,N,N,N,N
465,Free Month,Y,Y,N,N
466,10% off,N,N,N,N
467,Free Month,N,N,N,N
468,10% off,Y,N,N,N
469,Free Month,N,N,N,N
470,10% off,N,N,N,N
471,Free Month,Y,Y,N,N
472,10% off,N,N,N,N
473,Free Month,N,N,N,N
474,10% off,N,N,N,N
475,Free Month,N,N,N,N
476,10% off,Y,Y,Y,Y
477,Free Month,N,N,N,N
478,10% off,Y,Y,Y,Y
479,Free Month,N,N,N,N
480,10% off,N,N,N,N
481,Free Month,Y,Y,N,N
482,10% off,N,N,N,N
483,Free Month,Y,Y,Y,N
484,10% off,Y,Y,N,N
485,Free Month,N,N,N,N
486,10% off,N,N,N,N
487,Free Month,Y,N,N,N
488,10% off,Y,N,N,N
489,Free Month,N,N,N,N
490,10% off,Y,N,N,N
491,Free Month,Y,Y,N,N
492,10% off,Y,N,N,N
493,Free Month,N,N,N,N
494,10% off,Y,N,N,N
495,Free Month,N,N,N,N
496,10% off,Y,N,N,N
497,Free Month,N,N,N,N
498,10% off,N,N,N,N
499,Free Month,N,N,N,N
500,10% off,N,N,N,N
501,Free Month,N,N,N,N
502,10% off,N,N,N,N
503,Free Month,N,N,N,N
504,10% off,N,N,N,N
505,Free Month,N,N,N,N
506,10% off,N,N,N,N
507,Free Month,Y,Y,N,N
508,10% off,N,N,N,N
509,Free Month,Y,Y,N,N
510,10% off,N,N,N,N
511,Free Month,N,N,N,N
512,10% off,N,N,N,N
513,Free Month,N,N,N,N
514,10% off,N,N,N,N
515,Free Month,N,N,N,N
516,10% off,N,N,N,N
517,Free Month,N,N,N,N
518,10% off,N,N,N,N
519,Free Month,Y,Y,Y,N
520,10% off,N,N,N,N
521,Free Month,N,N,N,N
522,10% off,N,N,N,N
523,Free Month,N,N,N,N
524,10% off,N,N,N,N
525,Free Month,N,N,N,N
526,10% off,N,N,N,N
527,Free Month,Y,N,N,N
528,10% off,N,N,N,N
529,Free Month,N,N,N,N
530,10% off,Y,Y,N,N
531,Free Month,N,N,N,N
532,10% off,Y,N,N,N
533,Free Month,Y,N,N,N
534,10% off,N,N,N,N
535,Free Month,Y,Y,Y,Y
536,10% off,N,N,N,N
537,Free Month,Y,N,N,N
538,10% off,Y,Y,N,N
539,Free Month,Y,N,N,N
540,10% off,Y,N,N,N
541,Free Month,N,N,N,N
542,10% off,N,N,N,N
543,Free Month,Y,N,N,N
544,10% off,N,N,N,N
545,Free Month,N,N,N,N
546,10% off,N,N,N,N
547,Free Month,Y,Y,Y,Y
548,10% off,Y,N,N,N
549,Free Month,N,N,N,N
550,10% off,N,N,N,N
551,Free Month,Y,Y,N,N
552,10% off,N,N,N,N
553,Free Month,Y,N,N,N
554,10% off,N,N,N,N
555,Free Month,N,N,N,N
556,10% off,N,N,N,N
557,Free Month,N,N,N,N
558,10% off,Y,N,N,N
559,Free Month,N,N,N,N
560,10% off,Y,N,N,N
561,Free Month,Y,N,N,N
562,10% off,N,N,N,N
563,Free Month,N,N,N,N
564,10% off,N,N,N,N
565,Free Month,Y,Y,N,N
566,10% off,N,N,N,N
567,Free Month,N,N,N,N
568,10% off,N,N,N,N
569,Free Month,N,N,N,N
570,10% off,Y,N,N,N
571,Free Month,N,N,N,N
572,10% off,Y,Y,N,N
573,Free Month,Y,N,N,N
574,10% off,Y,Y,Y,Y
575,Free Month,Y,N,N,N
576,10% off,Y,N,N,N
577,Free Month,Y,N,N,N
578,10% off,Y,N,N,N
579,Free Month,Y,Y,N,N
580,10% off,N,N,N,N
581,Free Month,Y,Y,N,N
582,10% off,N,N,N,N
583,Free Month,N,N,N,N
584,10% off,Y,N,N,N
585,Free Month,Y,N,N,N
586,10% off,N,N,N,N
587,Free Month,N,N,N,N
588,10% off,Y,N,N,N
589,Free Month,N,N,N,N
590,10% off,N,N,N,N
591,Free Month,Y,Y,N,N
592,10% off,N,N,N,N
593,Free Month,N,N,N,N
594,10% off,N,N,N,N
595,Free Month,N,N,N,N
596,10% off,Y,Y,N,N
597,Free Month,N,N,N,N
598,10% off,N,N,N,N
599,Free Month,Y,Y,Y,Y
600,10% off,Y,Y,Y,Y
601,Free Month,Y,Y,Y,Y
602,10% off,Y,Y,Y,Y
603,Free Month,Y,N,N,N
604,10% off,N,N,N,N
605,Free Month,N,N,N,N
606,10% off,Y,Y,Y,Y
607,Free Month,N,N,N,N
608,10% off,N,N,N,N
609,Free Month,Y,N,N,N
610,10% off,Y,N,N,N
611,Free Month,N,N,N,N
612,10% off,N,N,N,N
613,Free Month,N,N,N,N
614,10% off,N,N,N,N
615,Free Month,Y,Y,N,N
616,10% off,N,N,N,N
617,Free Month,N,N,N,N
618,10% off,Y,N,N,N
619,Free Month,N,N,N,N
620,10% off,N,N,N,N
621,Free Month,N,N,N,N
622,10% off,Y,Y,Y,Y
623,Free Month,N,N,N,N
624,10% off,N,N,N,N
625,Free Month,N,N,N,N
626,10% off,Y,N,N,N
627,Free Month,N,N,N,N
628,10% off,N,N,N,N
629,Free Month,N,N,N,N
630,10% off,N,N,N,N
631,Free Month,Y,N,N,N
632,10% off,Y,N,N,N
633,Free Month,N,N,N,N
634,10% off,N,N,N,N
635,Free Month,N,N,N,N
636,10% off,Y,N,N,N
637,Free Month,N,N,N,N
638,10% off,N,N,N,N
639,Free Month,N,N,N,N
640,10% off,Y,N,N,N
641,Free Month,Y,Y,Y,Y
642,10% off,N,N,N,N
643,Free Month,N,N,N,N
644,10% off,N,N,N,N
645,Free Month,N,N,N,N
646,10% off,Y,N,N,N
647,Free Month,N,N,N,N
648,10% off,Y,N,N,N
649,Free Month,N,N,N,N
650,10% off,N,N,N,N
651,Free Month,N,N,N,N
652,10% off,Y,Y,Y,Y
653,Free Month,Y,N,N,N
654,10% off,Y,Y,Y,Y
655,Free Month,Y,N,N,N
656,10% off,N,N,N,N
657,Free Month,Y,N,N,N
658,10% off,N,N,N,N
659,Free Month,N,N,N,N
660,10% off,N,N,N,N
661,Free Month,N,N,N,N
662,10% off,N,N,N,N
663,Free Month,Y,Y,Y,Y
664,10% off,N,N,N,N
665,Free Month,N,N,N,N
666,10% off,Y,Y,N,N
667,Free Month,Y,Y,N,N
668,10% off,Y,N,N,N
669,Free Month,N,N,N,N
670,10% off,Y,N,N,N
671,Free Month,N,N,N,N
672,10% off,N,N,N,N
673,Free Month,N,N,N,N
674,10% off,N,N,N,N
675,Free Month,Y,Y,Y,Y
676,10% off,N,N,N,N
677,Free Month,N,N,N,N
678,10% off,Y,Y,Y,Y
679,Free Month,N,N,N,N
680,10% off,N,N,N,N
681,Free Month,N,N,N,N
682,10% off,N,N,N,N
683,Free Month,N,N,N,N
684,10% off,Y,Y,Y,Y
685,Free Month,N,N,N,N
686,10% off,N,N,N,N
687,Free Month,Y,Y,Y,N
688,10% off,Y,Y,Y,Y
689,Free Month,Y,Y,Y,Y
690,10% off,N,N,N,N
691,Free Month,N,N,N,N
692,10% off,N,N,N,N
693,Free Month,Y,N,N,N
694,10% off,N,N,N,N
695,Free Month,Y,Y,N,N
696,10% off,N,N,N,N
697,Free Month,N,N,N,N
698,10% off,N,N,N,N
699,Free Month,Y,Y,N,N
700,10% off,Y,Y,Y,Y
701,Free Month,N,N,N,N
702,10% off,N,N,N,N
703,Free Month,N,N,N,N
704,10% off,N,N,N,N
705,Free Month,Y,N,N,N
706,10% off,N,N,N,N
707,Free Month,Y,Y,N,N
708,10% off,N,N,N,N
709,Free Month,Y,Y,N,N
710,10% off,N,N,N,N
711,Free Month,Y,Y,Y,Y
712,10% off,Y,Y,Y,Y
713,Free Month,N,N,N,N
714,10% off,N,N,N,N
715,Free Month,Y,N,N,N
716,10% off,Y,N,N,N
717,Free Month,Y,Y,Y,N
718,10% off,N,N,N,N
719,Free Month,Y,N,N,N
720,10% off,N,N,N,N
721,Free Month,N,N,N,N
722,10% off,N,N,N,N
723,Free Month,Y,Y,N,N
724,10% off,N,N,N,N
725,Free Month,N,N,N,N
726,10% off,Y,N,N,N
727,Free Month,N,N,N,N
728,10% off,N,N,N,N
729,Free Month,Y,Y,Y,Y
730,10% off,Y,Y,Y,Y
731,Free Month,N,N,N,N
732,10% off,N,N,N,N
733,Free Month,N,N,N,N
734,10% off,Y,N,N,N
735,Free Month,Y,N,N,N
736,10% off,N,N,N,N
737,Free Month,Y,N,N,N
738,10% off,N,N,N,N
739,Free Month,Y,Y,N,N
740,10% off,N,N,N,N
741,Free Month,N,N,N,N
742,10% off,N,N,N,N
743,Free Month,N,N,N,N
744,10% off,Y,N,N,N
745,Free Month,N,N,N,N
746,10% off,N,N,N,N
747,Free Month,N,N,N,N
748,10% off,Y,Y,Y,N
749,Free Month,Y,N,N,N
750,10% off,N,N,N,N
751,Free Month,Y,Y,Y,Y
752,10% off,N,N,N,N
753,Free Month,Y,Y,Y,Y
754,10% off,N,N,N,N
755,Free Month,Y,Y,N,N
756,10% off,N,N,N,N
757,Free Month,N,N,N,N
758,10% off,N,N,N,N
759,Free Month,N,N,N,N
760,10% off,N,N,N,N
761,Free Month,N,N,N,N
762,10% off,N,N,N,N
763,Free Month,N,N,N,N
764,10% off,Y,Y,Y,N
765,Free Month,Y,Y,Y,Y
766,10% off,N,N,N,N
767,Free Month,Y,N,N,N
768,10% off,N,N,N,N
769,Free Month,Y,N,N,N
770,10% off,N,N,N,N
771,Free Month,Y,Y,N,N
772,10% off,N,N,N,N
773,Free Month,Y,Y,Y,Y
774,10% off,N,N,N,N
775,Free Month,N,N,N,N
776,10% off,N,N,N,N
777,Free Month,Y,Y,N,N
778,10% off,Y,N,N,N
779,Free Month,Y,N,N,N
780,10% off,N,N,N,N
781,Free Month,N,N,N,N
782,10% off,N,N,N,N
783,Free Month,Y,N,N,N
784,10% off,Y,N,N,N
785,Free Month,N,N,N,N
786,10% off,N,N,N,N
787,Free Month,N,N,N,N
788,10% off,Y,N,N,N
789,Free Month,Y,Y,N,N
790,10% off,N,N,N,N
791,Free Month,Y,Y,Y,Y
792,10% off,N,N,N,N
793,Free Month,Y,Y,N,N
794,10% off,Y,Y,Y,Y
795,Free Month,N,N,N,N
796,10% off,N,N,N,N
797,Free Month,Y,Y,N,N
798,10% off,N,N,N,N
799,Free Month,Y,N,N,N
800,10% off,N,N,N,N
801,Free Month,Y,Y,Y,Y
802,10% off,Y,N,N,N
803,Free Month,N,N,N,N
804,10% off,Y,Y,Y,N
805,Free Month,N,N,N,N
806,10% off,N,N,N,N
807,Free Month,N,N,N,N
808,10% off,N,N,N,N
809,Free Month,Y,N,N,N
810,10% off,Y,Y,Y,Y
811,Free Month,N,N,N,N
812,10% off,N,N,N,N
813,Free Month,N,N,N,N
814,10% off,Y,Y,Y,Y
815,Free Month,N,N,N,N
816,10% off,N,N,N,N
817,Free Month,N,N,N,N
818,10% off,N,N,N,N
819,Free Month,N,N,N,N
820,10% off,N,N,N,N
821,Free Month,N,N,N,N
822,10% off,N,N,N,N
823,Free Month,N,N,N,N
824,10% off,N,N,N,N
825,Free Month,N,N,N,N
826,10% off,N,N,N,N
827,Free Month,N,N,N,N
828,10% off,N,N,N,N
829,Free Month,Y,N,N,N
830,10% off,N,N,N,N
831,Free Month,Y,N,N,N
832,10% off,N,N,N,N
833,Free Month,N,N,N,N
834,10% off,N,N,N,N
835,Free Month,Y,Y,Y,Y
836,10% off,N,N,N,N
837,Free Month,N,N,N,N
838,10% off,Y,N,N,N
839,Free Month,N,N,N,N
840,10% off,N,N,N,N
841,Free Month,N,N,N,N
842,10% off,N,N,N,N
843,Free Month,Y,N,N,N
844,10% off,N,N,N,N
845,Free Month,N,N,N,N
846,10% off,N,N,N,N
847,Free Month,N,N,N,N
848,10% off,N,N,N,N
849,Free Month,N,N,N,N
850,10% off,N,N,N,N
851,Free Month,N,N,N,N
852,10% off,Y,Y,Y,Y
853,Free Month,Y,N,N,N
854,10% off,N,N,N,N
855,Free Month,N,N,N,N
856,10% off,N,N,N,N
857,Free Month,Y,Y,Y,Y
858,10% off,Y,N,N,N
859,Free Month,N,N,N,N
860,10% off,Y,Y,Y,Y
861,Free Month,N,N,N,N
862,10% off,N,N,N,N
863,Free Month,Y,Y,Y,Y
864,10% off,Y,N,N,N
865,Free Month,N,N,N,N
866,10% off,N,N,N,N
867,Free Month,N,N,N,N
868,10% off,Y,N,N,N
869,Free Month,N,N,N,N
870,10% off,N,N,N,N
871,Free Month,N,N,N,N
872,10% off,Y,N,N,N
873,Free Month,N,N,N,N
874,10% off,N,N,N,N
875,Free Month,N,N,N,N
876,10% off,N,N,N,N
877,Free Month,Y,Y,Y,Y
878,10% off,N,N,N,N
879,Free Month,Y,N,N,N
880,10% off,N,N,N,N
881,Free Month,N,N,N,N
882,10% off,N,N,N,N
883,Free Month,N,N,N,N
884,10% off,N,N,N,N
885,Free Month,N,N,N,N
886,10% off,Y,Y,N,N
887,Free Month,N,N,N,N
888,10% off,N,N,N,N
889,Free Month,Y,N,N,N
890,10% off,N,N,N,N
891,Free Month,Y,N,N,N
892,10% off,N,N,N,N
893,Free Month,Y,Y,Y,Y
894,10% off,Y,Y,Y,Y
895,Free Month,Y,N,N,N
896,10% off,Y,N,N,N
897,Free Month,N,N,N,N
898,10% off,N,N,N,N
899,Free Month,N,N,N,N
900,10% off,N,N,N,N
901,Free Month,N,N,N,N
902,10% off,Y,N,N,N
903,Free Month,Y,N,N,N
904,10% off,N,N,N,N
905,Free Month,N,N,N,N
906,10% off,Y,N,N,N
907,Free Month,N,N,N,N
908,10% off,N,N,N,N
909,Free Month,N,N,N,N
910,10% off,N,N,N,N
911,Free Month,N,N,N,N
912,10% off,N,N,N,N
913,Free Month,Y,Y,N,N
914,10% off,N,N,N,N
915,Free Month,Y,N,N,N
