"bin","age","income"
"30-39",32,128030.934691156
"20-29",24,23560.2803621787
"20-29",26,74028.1946392943
"40-49",43,105496.604523844
"30-39",30,61837.5403370915
"30-39",39,82157.74416036
"20-29",25,91630.8742790576
"30-39",33,81457.4436197215
"40-49",45,76403.1685718881
"60-69",62,82888.8043532477
"30-39",36,65506.2899902767
"70-79",76,58673.5053639687
"20-29",21,37414.7831947844
"30-39",37,97669.2141468281
"40-49",40,75157.5669428286
"50-59",56,54063.5186657454
"60-69",66,48098.2131696154
"50-59",52,88865.2341470799
"40-49",44,87873.8593159293
"50-59",59,37196.4047653046
"20-29",21,48101.8459087828
"30-39",31,62026.0821301024
"30-39",37,20625.3455121733
"20-29",20,11926.0001643735
"20-29",24,32648.0586577757
"50-59",56,59709.7984527263
"20-29",25,93696.1152209733
"30-39",34,107013.226911608
"30-39",36,83608.3841626896
"70-79",78,36939.5025899089
"70-79",72,42099.0082709855
"30-39",35,27823.4573974445
"30-39",37,103557.294642066
"50-59",52,88580.5398420777
"30-39",35,95988.7737664281
"50-59",52,9647.32988943969
"20-29",25,77778.8302633527
"40-49",42,107786.746824582
"40-49",46,68850.490936867
"60-69",61,77646.538711192
"70-79",71,30706.7678334747
"60-69",68,36409.3711719705
"70-79",76,43134.3317476538
"40-49",41,78343.0949515907
"50-59",51,110609.866674506
"30-39",30,93523.282143464
"30-39",33,84128.4619264496
"20-29",25,110649.904014596
"40-49",41,76355.5417458696
"60-69",67,66202.2458728347
"20-29",25,105637.945903204
"20-29",29,58834.9106761206
"20-29",29,104412.977920313
"80-",83,56645.0819964032
"40-49",48,98733.062363997
"20-29",24,29751.9945269808
"20-29",29,115475.120999873
"30-39",32,133892.447987234
"30-39",30,103246.067574142
"20-29",28,95033.1451821328
"30-39",32,117516.130356397
"20-29",23,31070.5160084113
"30-39",36,96890.778799513
"20-29",28,104061.209157884
"30-39",30,67290.700485838
"20-29",24,1484.84855372666
"20-29",24,36228.413340895
"60-69",69,64979.7951892657
"80-",83,34950.0527530914
"20-29",24,35455.7424815028
"20-29",23,22292.9815003367
"20-29",28,103932.031068539
"40-49",44,105510.885935987
"20-29",21,30460.7228514307
"20-29",22,45743.9649257535
"40-49",44,110291.851337626
"40-49",45,67339.9635479273
"30-39",33,106834.909269235
"40-49",42,73690.2215468158
"20-29",28,67359.6364570016
"30-39",39,62337.1462548403
"30-39",39,131995.693836999
"30-39",35,56729.1588009364
"60-69",68,34641.2241365324
"60-69",69,44130.0883881438
"30-39",33,78151.5971622061
"20-29",23,28022.3611768519
"20-29",24,32188.1154820041
"20-29",28,57346.9373634305
"80-",88,35786.0939849247
"20-29",29,132190.549909607
"30-39",35,100203.318829005
"60-69",60,83453.4677684061
"50-59",53,75223.6541976705
"30-39",39,110128.738663913
"30-39",33,45848.6866992915
"40-49",41,8443.82285256639
"80-",83,24102.778513751
"40-49",48,30148.8899685304
"20-29",29,117640.933454055
"50-59",55,82621.9888632902
"30-39",37,81728.2809400009
"40-49",49,44948.1722129092
"30-39",32,19564.2997255854
"80-",88,22852.050370237
"30-39",37,86206.1414774798
"30-39",32,85944.7267142325
"50-59",53,102547.947012153
"20-29",26,92677.5703775233
"70-79",74,36363.4076491907
"40-49",44,91731.251538267
"20-29",25,60324.4453488627
"50-59",56,55842.6457621781
"80-",84,23410.2760319714
"40-49",41,112850.921851014
"30-39",36,85482.1049948693
"10-19",19,31070.0603902239
"20-29",24,32030.6895690568
"20-29",22,23220.6749918278
"60-69",68,50362.6025896632
"30-39",31,58978.3799805335
"30-39",36,79199.3158827693
"20-29",20,36545.6783494429
"20-29",26,102221.010669673
"40-49",44,52033.2691508042
"40-49",41,93557.7875116785
"40-49",43,107324.803622925
"30-39",33,63215.6938169001
"60-69",68,45638.4227751577
"40-49",45,68347.7170018801
"50-59",51,89541.9342194765
"70-79",73,48956.8522638792
"20-29",24,36562.8544178864
"30-39",36,95663.1993723606
"80-",85,56506.4697323789
"50-59",58,92763.2154907494
"30-39",36,44640.7685616483
"10-19",19,23120.4636735955
"50-59",59,98704.1107886668
"60-69",61,87685.6919736218
"20-29",28,111650.610749598
"30-39",38,129397.143510546
"20-29",21,21950.1720296567
"30-39",37,73293.0648983137
"80-",88,49342.9360325591
"30-39",30,74181.8029242446
"20-29",28,94567.9307683568
"30-39",37,93498.2619307878
"30-39",38,68026.6288044197
"20-29",29,77032.4449499441
"20-29",24,39597.246393116
"80-",80,58673.5371035271
"80-",88,69020.0368823183
"20-29",24,22120.2416328558
"60-69",63,69561.7081013148
"50-59",50,72523.2166764711
"30-39",38,62138.7133790979
"40-49",46,68539.7328492805
"20-29",28,61210.7260423486
"30-39",31,103084.100889446
"30-39",35,73020.5677821732
"30-39",33,88741.6982911607
"40-49",41,111230.369710389
"30-39",30,88417.120694207
"20-29",28,69009.8342802972
"70-79",72,57066.0334268444
"30-39",34,41732.8334225638
"40-49",49,55763.0731379706
"20-29",25,73243.0543389323
"50-59",51,86744.2719311498
"50-59",55,56133.4611365262
"30-39",36,49409.8701488399
"60-69",63,70343.590963538
"50-59",56,52747.2977972463
"30-39",35,41905.8524273633
"30-39",37,87673.8767553125
"20-29",24,41543.1173468575
"60-69",67,37641.0823965838
"70-79",74,9352.00082732279
"50-59",59,70300.8968123031
"30-39",34,110554.512093002
"80-",87,31632.9243116188
"30-39",30,104560.647825031
"50-59",54,83933.0699915536
"20-29",25,34370.2839359024
"40-49",40,41657.5403721647
"20-29",25,90785.8800692824
"20-29",25,68830.6777013772
"30-39",36,86559.0094325267
"50-59",50,49264.3236283496
"20-29",28,87680.5481242934
"60-69",65,38625.5632093098
"20-29",23,30011.2444056927
"30-39",30,76785.1202037091
"50-59",55,75633.6211925528
"30-39",30,47888.8052871967
"20-29",27,70405.8869952479
"30-39",39,90917.4578274171
"60-69",61,43959.6981887553
"20-29",26,71756.6222817017
"20-29",27,78128.6998764738
"80-",86,51140.6645164128
"40-49",46,90717.8384118349
"40-49",40,78636.60870495
"20-29",25,74934.9657531999
"50-59",56,92110.7983485639
"30-39",31,93408.5172972145
"30-39",31,106940.968280948
"30-39",36,61161.3082636912
"10-19",18,42308.6232935528
"20-29",22,40185.2381627881
"40-49",42,106950.522979446
"40-49",48,71686.7520481473
"50-59",56,85249.0776740148
"20-29",24,42058.2741159333
"30-39",34,99402.9321592516
"30-39",32,94412.7471768143
"30-39",35,70051.8037558933
"70-79",74,42614.5827938984
"20-29",23,34926.0207270111
"20-29",28,93052.7968233706
"40-49",42,65215.7595355346
"80-",84,41611.3451669884
"20-29",28,93136.2739586205
"40-49",49,72353.6626734922
"20-29",20,44312.3868236731
"80-",89,36770.6470186618
"30-39",36,72528.2472135635
"20-29",24,41781.7568323314
"30-39",33,58770.7464160972
"30-39",33,104701.711767125
"30-39",32,79571.0798078603
"20-29",22,37803.8068443978
"30-39",30,69899.9430991189
"20-29",28,42055.2715196217
"50-59",50,52559.1315957491
"40-49",47,53577.9086535643
"70-79",73,33722.6874957513
"30-39",39,119330.037436912
"40-49",48,72523.0260093483
"20-29",23,34208.9114088534
"60-69",65,44522.6209225053
"30-39",37,147144.355735658
"20-29",23,35300.3513171629
"40-49",42,112336.213709881
"20-29",27,111538.337632418
"30-39",35,56001.137615139
"30-39",32,67417.4939715061
"30-39",36,70195.2825680447
"20-29",28,53085.2516909024
"40-49",45,112017.671229122
"60-69",67,46243.4750487734
"20-29",24,32867.9493448074
"80-",84,58611.0354138347
"30-39",32,55856.6160927167
"70-79",78,56259.062367475
"40-49",46,59308.2742250454
"20-29",24,26502.8161563085
"30-39",34,115013.719704417
"50-59",51,55941.4533050573
"30-39",32,69339.2033718757
"20-29",28,88071.4333952131
"30-39",39,92097.9297355967
"10-19",18,32172.3799399458
"70-79",74,34160.1726458172
"20-29",27,64832.9857716719
"60-69",65,39445.2171450103
"30-39",38,57987.9371478577
"30-39",33,77465.0505250311
"20-29",29,81267.5811609271
"50-59",59,104551.786641015
"60-69",65,47448.9774011878
"50-59",50,73952.1172636553
"50-59",54,93758.1464808659
"50-59",55,90266.9511423325
"40-49",46,54386.3266993853
"20-29",25,89145.307290338
"20-29",23,23216.4974889199
"70-79",76,56930.2902566584
"20-29",22,24621.0758532668
"30-39",39,88422.6168918313
"50-59",54,83745.0807268477
"60-69",64,93268.5509598091
"50-59",54,47221.7067788988
"60-69",63,67946.3102339319
"50-59",55,52986.9850102222
"40-49",47,110246.269938034
"70-79",71,53348.5588124436
"40-49",47,66906.7664083238
"20-29",21,27027.5915867558
"50-59",57,82739.2561921485
"40-49",42,51722.1970894506
"60-69",63,74139.6826390508
"60-69",65,36403.3145293742
"30-39",31,108542.304880606
"60-69",63,69170.718596949
"20-29",28,74470.517218203
"30-39",37,88489.7925822829
"80-",80,28062.5216097245
"50-59",56,89308.3998420735
"50-59",54,23493.4482886569
"20-29",20,30768.1748435346
"70-79",77,40133.9779315175
"20-29",21,39569.9915394079
"20-29",29,108744.333499343
"60-69",62,53052.9115604719
"40-49",41,99716.3573978121
"30-39",38,95419.4492974732
"60-69",61,78922.6947736253
"20-29",23,33784.6931373241
"30-39",34,143424.863362517
"30-39",34,65964.1193908067
"30-39",36,108690.542526209
"20-29",27,96281.7289849842
"20-29",24,33671.2125784797
"30-39",32,59599.9924518106
"30-39",39,168576.570590762
"50-59",59,80592.8782637671
"20-29",27,79020.8975535703
"20-29",23,22426.334703193
"80-",84,41125.3718068672
"50-59",58,92706.3853630328
"60-69",67,58180.8236035209
"80-",83,48025.7720426207
"20-29",29,48796.1498677048
"60-69",69,68420.0353610104
"60-69",67,28067.4795220066
"30-39",38,71588.966708929
"20-29",21,43939.6299123528
"30-39",31,50303.3252568685
"30-39",38,102617.247988138
"60-69",60,46188.4630427269
"30-39",30,123523.904096602
"30-39",39,101946.337541625
"60-69",65,62695.4204754679
"40-49",45,83706.2881900095
"20-29",27,126202.008378754
"30-39",34,74502.5352165368
"70-79",77,58290.6175389829
"40-49",48,75729.2565352824
"50-59",52,57922.1318895805
"60-69",67,55837.7745402721
"30-39",39,103092.030380101
"20-29",28,130607.599100257
"50-59",50,74838.8983176553
"20-29",23,28204.0435385209
"30-39",31,63907.691585577
"50-59",56,76126.9482941016
"60-69",69,32899.8976283345
"40-49",44,92557.7650484786
"50-59",51,32671.6352425506
"60-69",65,31750.6339422001
"60-69",69,77464.5297184033
"20-29",23,38790.9881995196
"40-49",47,63536.0165957486
"30-39",30,62655.358795227
"60-69",64,101348.026833888
"20-29",22,16198.7050769538
"30-39",32,85517.4365734111
"20-29",20,25110.4050941213
"70-79",72,51450.1182595526
"20-29",25,68521.4172440211
"20-29",25,75289.0108513744
"20-29",25,68016.9533065249
"50-59",57,64172.956745905
"20-29",20,31295.5647318538
"30-39",38,46428.3493793912
"40-49",41,71991.9522347982
"50-59",50,104366.100757145
"10-19",18,31940.0561017809
"20-29",23,49650.9994671985
"40-49",45,89277.4753765239
"40-49",41,118775.966581324
"60-69",68,59812.625198804
"70-79",79,69997.1895078074
"50-59",56,84945.4253719
"50-59",53,95527.2316366771
"20-29",24,36394.9552833964
"40-49",47,59248.8073476002
"30-39",33,87178.0730338005
"20-29",25,75629.7428099236
"50-59",56,62488.3783085941
"20-29",28,94841.9029189408
"30-39",33,95037.1078909402
"50-59",58,53242.3052727802
"20-29",28,66779.0870984559
"20-29",26,73336.4851898879
"40-49",43,102251.145322298
"30-39",38,112736.838617987
"60-69",69,35925.1703892706
"30-39",35,122921.563740011
"20-29",24,39540.267783847
"60-69",69,55636.9623069411
"30-39",35,44954.5992360923
"50-59",52,94012.1607337001
"30-39",36,55294.9824604667
"20-29",27,87239.4502260013
"40-49",40,88808.3691365842
"50-59",56,77489.7573650978
"40-49",47,80790.636853652
"30-39",33,149834.835471487
"20-29",22,35248.1403782448
"20-29",25,80745.8516242531
"80-",87,59119.1197123624
"20-29",26,86683.0736274227
"40-49",41,30169.8515592031
"60-69",62,86422.1965428993
"50-59",58,63796.7109613317
"60-69",60,83524.0614819714
"50-59",52,62923.8131311463
"20-29",26,92726.0551425722
"40-49",43,67652.0918346531
"60-69",67,50647.7455519555
"70-79",71,24540.7147448317
"20-29",24,25151.3246157886
"30-39",33,97777.1609464629
"10-19",19,29715.1996444921
"80-",88,30482.806558438
"30-39",30,112464.711408191
"20-29",23,35698.6459520741
"80-",81,23703.1907629355
"20-29",22,32980.2672886691
"20-29",23,36959.2493153301
"50-59",58,57266.1785344944
"30-39",34,46240.2671528259
"50-59",51,59889.9643788169
"20-29",23,36488.2740908132
"70-79",72,43464.6624516638
"30-39",33,58901.7482381091
"30-39",30,52402.5824748674
"20-29",29,70526.3359204389
"20-29",23,22736.6390628545
"50-59",53,80897.9308425295
"40-49",45,85835.8139284613
"40-49",40,85765.6156732877
"60-69",62,43400.5251050421
"20-29",20,25638.7452255538
"20-29",24,33941.7772893046
"40-49",44,64193.418765705
"30-39",36,65422.2403596859
"50-59",52,60087.1588014539
"40-49",45,51601.4597914546
"50-59",58,70184.5750790088
"20-29",22,40020.8378003048
"20-29",24,26569.2962517265
"40-49",42,97976.6309883143
"60-69",60,80166.8855001918
"10-19",18,29876.5007742913
"20-29",23,41271.0306425032
"30-39",31,103852.76377232
"30-39",30,115571.782603983
"40-49",40,101192.529845348
"30-39",31,116188.151477927
"20-29",27,79040.1214343971
"40-49",45,89215.5764171137
"20-29",27,36054.7197246298
"20-29",26,72219.8894814492
"30-39",39,94903.8613177931
"60-69",65,65551.9711474413
"70-79",73,50642.5502987584
"50-59",52,85848.2202060478
"30-39",38,86159.7916036379
"40-49",46,92154.7940189872
"40-49",41,117813.409418786
"20-29",28,130117.142390172
"30-39",37,71309.1285402119
"30-39",31,71625.2720724845
"30-39",31,82927.3072497338
"40-49",42,17849.245892077
"30-39",37,85612.8978120718
"20-29",28,65162.9027004401
"20-29",29,79839.5547544448
"30-39",39,98056.4768468256
"70-79",71,63461.246514148
"40-49",44,107775.327455013
"40-49",41,102839.012503425
"20-29",27,96951.9715813964
"30-39",34,74817.5042167161
"60-69",62,69325.5123960107
"20-29",21,27979.4534607439
"30-39",35,69373.6241681057
"20-29",26,121064.296328079
"50-59",58,57663.4935807061
"50-59",59,51343.0423273724
"30-39",32,75968.3157244448
"50-59",53,65560.6102565057
"80-",85,57798.5621316837
"20-29",23,9924.76745162309
"40-49",40,59444.3164011132
"20-29",27,59040.6525183977
"30-39",39,31459.9808250543
"20-29",22,36694.0790505203
"10-19",18,60887.371109216
"40-49",41,44485.5327281432
"50-59",55,51442.6314803673
"30-39",32,34281.5315227716
"20-29",22,37501.5686056122
"70-79",70,64805.3532281518
"50-59",54,96534.8827081881
"20-29",20,44388.3998631704
"50-59",58,66666.3417174261
"30-39",36,102054.039622823
"60-69",63,47580.0262570102
"20-29",27,65651.2397585472
"30-39",37,87836.451072537
"20-29",25,74138.5426815049
"30-39",38,94561.0762726275
"80-",80,66936.4799647172
"40-49",47,78037.8654260164
"40-49",40,77762.3574954974
"70-79",73,34536.3061155714
"20-29",25,78312.6916060127
"20-29",24,25086.0279331679
"60-69",67,53746.1343509603
"40-49",49,68404.1620461608
"20-29",27,103125.277677217
"40-49",43,101729.381704867
"50-59",57,36678.5748822692
"30-39",33,39242.990825369
"20-29",21,20332.6276917023
"20-29",22,35248.2153495985
"40-49",46,69320.932385825
"50-59",50,59213.896185916
"20-29",24,18869.8341279986
"20-29",24,38950.285863746
"50-59",57,32545.2783962499
"60-69",67,52118.2022858412
"20-29",20,17667.4276139119
"60-69",69,17995.0186245062
"20-29",29,124035.345039377
"70-79",79,46911.4814181009
"20-29",28,121575.148309922
"70-79",74,63502.1835971536
"40-49",49,78478.1573637162
"30-39",37,91829.7220449199
"30-39",31,101103.799354543
"30-39",37,89690.354056983
"50-59",55,39293.7770797304
"50-59",58,72305.6677318132
"20-29",28,86410.7595978081
"30-39",36,35279.8083107602
"20-29",26,102454.740123849
"10-19",19,35598.3443433324
"70-79",73,19427.3956519895
"50-59",50,17685.558585282
"60-69",66,34251.2548880862
"50-59",50,62543.964843106
"40-49",49,93533.2074917594
"60-69",68,73409.2275436878
"20-29",26,104403.30975977
"20-29",20,31597.4762719002
"20-29",24,41774.6169250675
"60-69",67,39657.1410448684
"50-59",57,84040.8385626021
"30-39",38,117286.78010724
"70-79",70,52403.4558755917
"50-59",55,89907.6692808832
"50-59",53,29669.3178780772
"30-39",32,94771.6518833912
"30-39",31,77970.6972352168
"20-29",29,73713.3836350709
"30-39",30,89621.3620013146
"60-69",61,37179.2352247507
"30-39",38,123630.047993113
"50-59",51,88778.1215035581
"20-29",20,40057.8614774242
"60-69",67,43987.3298401432
"20-29",25,75310.9230461304
"50-59",58,47687.6086822179
"70-79",70,58663.6195089973
"20-29",24,27900.3240416066
"50-59",54,79392.7120737585
"60-69",69,61351.6426662861
"60-69",64,55776.1892493403
"20-29",20,43057.0506859042
"80-",88,62485.5721789574
"40-49",45,65059.9912744715
"30-39",39,93072.2200932221
"40-49",44,106494.616495565
"20-29",29,134103.91660258
"20-29",29,116538.640822545
"40-49",49,71633.5463500245
"30-39",35,55014.1448437271
"40-49",49,125050.075629912
"30-39",31,97759.7020969335
"50-59",58,78038.1457892647
"20-29",26,69052.2995639504
"70-79",73,32048.5914715898
"20-29",24,26047.5026442174
"30-39",35,90794.6385187144
"70-79",75,46249.8196472534
"20-29",20,29809.3500723787
"40-49",42,65065.3072964273
"40-49",47,84792.8375530841
"40-49",41,110404.233997764
"40-49",49,56629.661550051
"50-59",51,66981.2661729815
"20-29",23,31360.4757264594
"60-69",69,44530.9987412517
"50-59",58,74014.0688768061
"50-59",56,71556.5441935521
"20-29",29,119602.684077251
"40-49",48,83785.0104919491
"20-29",22,33004.3426883761
"10-19",18,32072.448744568
"30-39",30,93038.5226506753
"30-39",38,74242.7387186228
"70-79",71,51623.5129548089
"20-29",23,38882.6763428838
"30-39",30,53043.6511446144
"40-49",44,50551.1494798724
"40-49",41,71689.4147234191
"60-69",63,92018.5558283178
"50-59",55,110553.735118254
"60-69",64,63653.1102846909
"20-29",29,51388.8753985773
"20-29",25,87789.6021542552
"20-29",27,110023.704313195
"40-49",43,73369.029467011
"20-29",27,111947.484205286
"30-39",36,108185.774944085
"50-59",57,33865.7294444184
"40-49",40,94173.8927405958
"50-59",54,38285.1975624703
"30-39",35,90743.6044312246
"20-29",24,28463.626164018
"30-39",30,105682.284591605
"50-59",54,46427.4227071124
"20-29",20,40328.9954416478
"60-69",69,50132.0005504336
"60-69",60,61864.9614176515
"40-49",43,104220.142616633
"10-19",18,23141.3197687677
"30-39",33,64271.3649198767
"20-29",21,15728.1524693
"40-49",41,105182.90811711
"40-49",47,88991.2250826555
"30-39",32,80190.6194861531
"20-29",29,107948.419501931
"40-49",48,77999.9332786631
"20-29",24,18831.9733738322
"10-19",19,45436.0804855924
"50-59",54,85625.0492717636
"40-49",47,83448.2802797811
"30-39",32,95305.4793749608
"40-49",44,88048.1329067243
"10-19",18,37714.5839120876
"50-59",52,61686.1368105226
"30-39",30,73542.9636723816
"30-39",31,81116.0101677439
"50-59",55,78800.1848210354
"40-49",46,89273.665519865
"30-39",33,101525.184567103
"50-59",59,88574.6405237208
"30-39",36,152572.607392433
"50-59",55,32659.7772716117
"40-49",46,74828.9433528446
"20-29",28,73071.1445870789
"50-59",59,23766.6396038366
"50-59",54,84380.2702454073
"20-29",27,94484.1041817555
"50-59",55,70335.3285113358
"40-49",48,79568.3385846941
"40-49",46,58905.4134990167
"40-49",47,78074.0355371727
"50-59",52,79863.6371669116
"30-39",34,38917.8966925515
"20-29",24,41477.4398810719
"30-39",34,78055.9670790268
"20-29",26,82419.1026760215
"60-69",65,31596.5185641275
"80-",85,55103.1251114004
"60-69",61,41657.892328273
"50-59",54,34606.9648387858
"50-59",53,68154.854728442
"30-39",37,51844.6288144016
"30-39",34,79305.2220279716
"30-39",35,68294.3804271871
"20-29",20,25558.1602433249
"30-39",31,104923.417148873
"30-39",33,74804.0803710714
"20-29",25,91661.2832019796
"50-59",50,89390.8141648732
"20-29",26,59153.6326199237
"80-",88,60948.1183563507
"50-59",53,76887.5084628975
"60-69",62,91706.2585458828
"60-69",69,41459.1098617754
"10-19",18,19806.532845461
"50-59",54,62562.9842912112
"30-39",39,83453.4554720928
"20-29",29,75354.7105739434
"40-49",46,81108.6573765384
"30-39",30,111076.885640681
"30-39",34,66780.0739173126
"20-29",28,81014.4349775223
"30-39",38,80280.1458960026
"40-49",45,66059.8999753095
"30-39",31,68439.2485370373
"20-29",22,30301.6249965257
"20-29",25,108035.383160905
"40-49",45,26700.7989157105
"20-29",24,47635.2063383003
"20-29",26,56002.6301069609
"20-29",25,94441.8097901405
"10-19",18,50732.4585445752
"80-",84,66705.5874901748
"50-59",56,68265.1610865139
"30-39",38,99143.2680459704
"20-29",21,37577.6997586941
"10-19",18,37558.5645932318
"30-39",36,66826.5353938142
"60-69",62,59729.429587408
"50-59",57,73053.0190333773
"50-59",57,89387.9603348511
"70-79",73,40297.022520552
"70-79",75,39278.602155821
"20-29",28,77465.4214896133
"30-39",32,89932.3056922482
"30-39",32,104843.513211598
"30-39",34,65921.8564732913
"40-49",47,91838.1610885713
"70-79",78,35160.7600059599
"30-39",30,52709.9267260688
"50-59",53,88552.5620094789
"20-29",29,111527.256209863
"20-29",26,139424.330287886
"30-39",35,122167.251689831
"20-29",26,81203.0018705081
"20-29",20,45594.1943374133
"70-79",70,67247.4369679755
"50-59",50,87554.9040590538
"20-29",29,63843.1012838232
"50-59",51,66175.0128406325
"50-59",57,79355.8559165184
"10-19",18,32232.4727435499
"50-59",52,26095.9290759979
"30-39",32,89090.2190714012
"30-39",37,64385.1773855644
"50-59",50,75365.2526323727
"30-39",36,63769.6697228162
"40-49",42,81836.8598110574
"20-29",21,43858.8318530544
"70-79",70,41781.4467778681
"30-39",38,115096.057812993
"40-49",47,49450.4510704534
"50-59",56,84610.9268328236
"50-59",50,44759.5951596288
"30-39",33,56248.1682032863
"20-29",27,123691.837856986
"60-69",63,103063.174999706
"50-59",55,68120.7577285829
"10-19",18,28800.6559779227
"60-69",65,61250.9153983402
"50-59",51,77873.0659132396
"30-39",35,71031.1758109664
"20-29",27,64104.5593599531
"60-69",67,54167.7087033193
"40-49",41,24153.8159259996
"20-29",29,57444.9516391302
"30-39",37,47041.5800836806
"20-29",26,105364.556183213
"40-49",48,55467.5764074228
"30-39",39,110586.635180022
"20-29",23,20085.5115293472
"20-29",28,109305.524859087
"30-39",34,84051.3961402159
"20-29",20,45163.2952109754
"80-",82,56149.4390898201
"40-49",46,83940.3365771426
"40-49",45,58274.83084021
"60-69",69,42619.865078898
"30-39",36,84227.1245249148
"50-59",53,85247.2793053483
"30-39",34,54611.0081253675
"20-29",21,35359.0330827831
"20-29",29,56781.0771361229
"30-39",33,125605.236663098
"60-69",62,30262.1780195301
"20-29",22,43946.3187062118
"30-39",39,92603.684321124
"50-59",50,51064.9853808608
"20-29",27,122691.107141278
"50-59",59,76491.6635379138
"40-49",47,62910.6941438778
"20-29",24,20162.4295554001
"20-29",27,98829.5261629606
